species;island;culmen_length_mm;culmen_depth_mm;flipper_length_mm;body_mass_g;sex
1.0;2.0;37.6;19.1;194.0;3750.0;1.0;
1.0;1.0;44.1;18.0;210.0;4000.0;1.0;
1.0;3.0;36.4;17.0;195.0;3325.0;2.0;
1.0;3.0;39.6;18.8;190.0;4600.0;1.0;
1.0;1.0;37.3;20.5;199.0;3775.0;1.0;
1.0;1.0;43.1;19.2;197.0;3500.0;1.0;
1.0;3.0;40.7;17.0;190.0;3725.0;1.0;
1.0;2.0;41.3;21.1;195.0;4400.0;1.0;
1.0;3.0;38.1;18.6;190.0;3700.0;2.0;
1.0;1.0;37.2;19.4;184.0;3900.0;1.0;
1.0;2.0;36.4;17.1;184.0;2850.0;2.0;
1.0;2.0;38.2;20.0;190.0;3900.0;1.0;
1.0;3.0;37.2;18.1;178.0;3900.0;1.0;
1.0;3.0;41.1;18.1;205.0;4300.0;1.0;
1.0;2.0;40.5;18.9;180.0;3950.0;1.0;
1.0;3.0;40.2;20.1;200.0;3975.0;1.0;
1.0;3.0;44.1;19.7;196.0;4400.0;1.0;
1.0;3.0;39.5;17.8;188.0;3300.0;2.0;
1.0;3.0;37.8;18.1;193.0;3750.0;1.0;
1.0;1.0;42.9;17.6;196.0;4700.0;1.0;
1.0;3.0;36.0;18.5;186.0;3100.0;2.0;
1.0;2.0;37.6;17.0;185.0;3600.0;2.0;
1.0;3.0;32.1;15.5;188.0;3050.0;2.0;
1.0;3.0;41.5;18.5;201.0;4000.0;1.0;
1.0;3.0;38.8;20.0;190.0;3950.0;1.0;
1.0;3.0;41.3;20.3;194.0;3550.0;1.0;
1.0;3.0;40.6;17.2;187.0;3475.0;1.0;
1.0;1.0;41.1;18.6;189.0;3325.0;1.0;
1.0;1.0;41.5;18.3;195.0;4300.0;1.0;
1.0;3.0;37.3;16.8;192.0;3000.0;2.0;
1.0;3.0;34.0;17.1;185.0;3400.0;2.0;
1.0;3.0;36.0;17.8;195.0;3450.0;2.0;
1.0;1.0;39.3;20.6;190.0;3650.0;1.0;
1.0;2.0;38.8;17.2;180.0;3800.0;1.0;
1.0;2.0;39.7;18.9;184.0;3550.0;1.0;
1.0;1.0;34.4;18.4;184.0;3325.0;2.0;
1.0;3.0;43.2;18.5;192.0;4100.0;1.0;
1.0;2.0;37.7;16.0;183.0;3075.0;2.0;
1.0;1.0;40.2;17.0;176.0;3450.0;2.0;
1.0;2.0;40.6;18.6;183.0;3550.0;1.0;
1.0;2.0;41.1;18.2;192.0;4050.0;1.0;
1.0;3.0;40.9;18.9;184.0;3900.0;1.0;
1.0;1.0;39.0;17.1;191.0;3050.0;2.0;
1.0;1.0;41.8;19.4;198.0;4450.0;1.0;
1.0;3.0;36.0;17.1;187.0;3700.0;2.0;
1.0;1.0;36.6;17.8;185.0;3700.0;2.0;
1.0;1.0;36.7;19.3;193.0;3450.0;2.0;
1.0;1.0;38.5;17.9;190.0;3325.0;2.0;
1.0;1.0;39.1;18.7;181.0;3750.0;1.0;
1.0;3.0;41.1;19.0;182.0;3425.0;1.0;
1.0;3.0;42.2;18.5;180.0;3550.0;2.0;
1.0;2.0;39.7;17.7;193.0;3200.0;2.0;
1.0;2.0;41.6;18.0;192.0;3950.0;1.0;
1.0;2.0;36.5;16.6;181.0;2850.0;2.0;
1.0;1.0;45.8;18.9;197.0;4150.0;1.0;
1.0;3.0;36.2;17.3;187.0;3300.0;2.0;
1.0;3.0;39.5;16.7;178.0;3250.0;2.0;
1.0;3.0;36.9;18.6;189.0;3500.0;2.0;
1.0;3.0;39.2;18.6;190.0;4250.0;1.0;
1.0;3.0;37.5;18.5;199.0;4475.0;1.0;
1.0;1.0;39.7;18.4;190.0;3900.0;1.0;
1.0;1.0;41.4;18.5;202.0;3875.0;1.0;
1.0;1.0;37.7;19.8;198.0;3500.0;1.0;
1.0;3.0;39.8;19.1;184.0;4650.0;1.0;
1.0;2.0;35.7;16.9;185.0;3150.0;2.0;
1.0;1.0;33.5;19.0;190.0;3600.0;2.0;
1.0;3.0;36.5;18.0;182.0;3150.0;2.0;
1.0;2.0;37.9;18.6;193.0;2925.0;2.0;
1.0;3.0;40.8;18.4;195.0;3900.0;1.0;
1.0;1.0;38.9;17.8;181.0;3625.0;2.0;
1.0;2.0;45.6;20.3;191.0;4600.0;1.0;
1.0;1.0;35.2;15.9;186.0;3050.0;2.0;
1.0;1.0;39.6;17.2;196.0;3550.0;2.0;
2.0;3.0;48.5;17.5;191.0;3400.0;1.0;
2.0;3.0;48.1;16.4;199.0;3325.0;2.0;
2.0;3.0;42.5;17.3;187.0;3350.0;2.0;
2.0;3.0;52.0;20.7;210.0;4800.0;1.0;
2.0;3.0;46.0;18.9;195.0;4150.0;2.0;
2.0;3.0;45.5;17.0;196.0;3500.0;2.0;
2.0;3.0;52.0;19.0;197.0;4150.0;1.0;
2.0;3.0;50.5;19.6;201.0;4050.0;1.0;
2.0;3.0;45.2;16.6;191.0;3250.0;2.0;
2.0;3.0;46.7;17.9;195.0;3300.0;2.0;
2.0;3.0;46.4;17.8;191.0;3700.0;2.0;
2.0;3.0;46.6;17.8;193.0;3800.0;2.0;
2.0;3.0;49.2;18.2;195.0;4400.0;1.0;
2.0;3.0;46.4;18.6;190.0;3450.0;2.0;
2.0;3.0;51.3;19.2;193.0;3650.0;1.0;
2.0;3.0;50.8;19.0;210.0;4100.0;1.0;
2.0;3.0;51.3;18.2;197.0;3750.0;1.0;
2.0;3.0;49.8;17.3;198.0;3675.0;2.0;
2.0;3.0;46.5;17.9;192.0;3500.0;2.0;
2.0;3.0;46.2;17.5;187.0;3650.0;2.0;
2.0;3.0;47.6;18.3;195.0;3850.0;2.0;
2.0;3.0;45.9;17.1;190.0;3575.0;2.0;
2.0;3.0;46.9;16.6;192.0;2700.0;2.0;
2.0;3.0;49.5;19.0;200.0;3800.0;1.0;
2.0;3.0;46.1;18.2;178.0;3250.0;2.0;
2.0;3.0;51.3;19.9;198.0;3700.0;1.0;
2.0;3.0;49.6;18.2;193.0;3775.0;1.0;
2.0;3.0;52.7;19.8;197.0;3725.0;1.0;
2.0;3.0;51.7;20.3;194.0;3775.0;1.0;
2.0;3.0;45.6;19.4;194.0;3525.0;2.0;
2.0;3.0;54.2;20.8;201.0;4300.0;1.0;
2.0;3.0;50.9;19.1;196.0;3550.0;1.0;
2.0;3.0;45.7;17.3;193.0;3600.0;2.0;
2.0;3.0;43.5;18.1;202.0;3400.0;2.0;
3.0;2.0;55.9;17.0;228.0;5600.0;1.0;
3.0;2.0;49.6;16.0;225.0;5700.0;1.0;
3.0;2.0;45.3;13.7;210.0;4300.0;2.0;
3.0;2.0;44.9;13.8;212.0;4750.0;2.0;
3.0;2.0;44.9;13.3;213.0;5100.0;2.0;
3.0;2.0;48.4;14.6;213.0;5850.0;1.0;
3.0;2.0;46.5;14.8;217.0;5200.0;2.0;
3.0;2.0;49.4;15.8;216.0;4925.0;1.0;
3.0;2.0;48.7;14.1;210.0;4450.0;2.0;
3.0;2.0;52.5;15.6;221.0;5450.0;1.0;
3.0;2.0;54.3;15.7;231.0;5650.0;1.0;
3.0;2.0;48.5;14.1;220.0;5300.0;1.0;
3.0;2.0;47.3;15.3;222.0;5250.0;1.0;
3.0;2.0;48.7;15.7;208.0;5350.0;1.0;
3.0;2.0;59.6;17.0;230.0;6050.0;1.0;
3.0;2.0;49.8;16.8;230.0;5700.0;1.0;
3.0;2.0;45.2;14.8;212.0;5200.0;2.0;
3.0;2.0;46.7;15.3;219.0;5200.0;1.0;
3.0;2.0;43.3;14.0;208.0;4575.0;2.0;
3.0;2.0;48.4;14.4;203.0;4625.0;2.0;
3.0;2.0;45.0;15.4;220.0;5050.0;1.0;
3.0;2.0;43.6;13.9;217.0;4900.0;2.0;
3.0;2.0;49.3;15.7;217.0;5850.0;1.0;
3.0;2.0;46.4;15.0;216.0;4700.0;2.0;
3.0;2.0;48.7;15.1;222.0;5350.0;1.0;
3.0;2.0;55.1;16.0;230.0;5850.0;1.0;
3.0;2.0;49.9;16.1;213.0;5400.0;1.0;
3.0;2.0;46.9;14.6;222.0;4875.0;2.0;
3.0;2.0;49.1;14.5;212.0;4625.0;2.0;
3.0;2.0;50.0;15.3;220.0;5550.0;1.0;
3.0;2.0;43.2;14.5;208.0;4450.0;2.0;
3.0;2.0;46.6;14.2;210.0;4850.0;2.0;
3.0;2.0;48.5;15.0;219.0;4850.0;2.0;
3.0;2.0;47.2;15.5;215.0;4975.0;2.0;
3.0;2.0;50.0;15.9;224.0;5350.0;1.0;
3.0;2.0;46.2;14.5;209.0;4800.0;2.0;
3.0;2.0;46.2;14.1;217.0;4375.0;2.0;
3.0;2.0;41.7;14.7;210.0;4700.0;2.0;
3.0;2.0;50.5;15.9;222.0;5550.0;1.0;
3.0;2.0;46.5;13.5;210.0;4550.0;2.0;
3.0;2.0;50.4;15.7;222.0;5750.0;1.0;
3.0;2.0;49.2;15.2;221.0;6300.0;1.0;
3.0;2.0;46.3;15.8;215.0;5050.0;1.0;
3.0;2.0;42.9;13.1;215.0;5000.0;2.0;
3.0;2.0;49.1;15.0;228.0;5500.0;1.0;
3.0;2.0;46.1;15.1;215.0;5100.0;1.0;
3.0;2.0;53.4;15.8;219.0;5500.0;1.0;
3.0;2.0;42.8;14.2;209.0;4700.0;2.0;
3.0;2.0;50.5;15.2;216.0;5000.0;2.0;
3.0;2.0;49.8;15.9;229.0;5950.0;1.0;
3.0;2.0;48.8;16.2;222.0;6000.0;1.0;
3.0;2.0;46.8;16.1;215.0;5500.0;1.0;
